train_loss,train_acc,val_loss,val_acc,val_f1
1.0538554207526427,0.6021724598930481,1.1175372960852152,0.5921073155513961,0.5927465510734684
0.7889097364191066,0.7813502673796792,0.7176386931938912,0.8352831071595694,0.8362353030906271
0.7101563071503358,0.8266042780748664,0.6873424710029393,0.8511932615816565,0.851941017015851
0.6644533528044899,0.8519050802139038,0.6227048103192553,0.8895648104819841,0.8880861209491496
0.6298180914817647,0.8715574866310161,0.6162499332457633,0.889720792388083,0.8907819312941359
0.5863838283454671,0.8978609625668449,0.5776991495742133,0.912962096396818,0.9134527557463187
0.568055893648117,0.9096256684491979,0.5669861353600203,0.9210731555139604,0.9203874765561293
0.5546898294260157,0.916677807486631,0.577889364083015,0.9135860240212136,0.9144119348587646
0.5419506451662849,0.9239304812834225,0.5470275779565176,0.931679925128685,0.9317136767696603
0.531102283816924,0.9295454545454546,0.5667581515970515,0.9212291374200593,0.9202822722381908
0.519316504983341,0.9345254010695188,0.5192118040957854,0.944782405240992,0.9446463143104064
0.5092947346641418,0.9398729946524064,0.5153920769098386,0.9469661519263766,0.9469861727031756
0.505201032295584,0.9418114973262032,0.5173850060250629,0.9508656995788488,0.9508136604270383
0.4990864641207425,0.9450534759358289,0.5259663132737525,0.9449383871470909,0.9446367657864961
0.49374017610269433,0.9480614973262033,0.5234931823774357,0.944782405240992,0.9447719275490309
0.4888016272993649,0.9497660427807486,0.5134437581644723,0.9468101700202777,0.9468930468239045
0.4815421089450306,0.9530414438502673,0.5190816165054616,0.9488379347995632,0.9485114897333929
0.4830654725671452,0.952807486631016,0.5204815955749199,0.9416627671190142,0.9419840813594151
0.47591173655209057,0.9563836898395722,0.5082402717859591,0.9532054281703323,0.9531283712481623
0.47069485248091386,0.9577205882352942,0.505282250580503,0.9557011386679145,0.9555281987859109
0.4688978717926352,0.9584893048128342,0.49734981417359403,0.9558571205740134,0.9558490979339113
0.46323660054308846,0.961798128342246,0.5081142569655803,0.956481048198409,0.9564274296343415
0.4603551336150756,0.9642713903743315,0.5280094202329864,0.9441584776165964,0.9444304510587856
0.45951546373214314,0.9640374331550802,0.5001338838937863,0.9560131024801123,0.9559050631752475
0.454576446315184,0.9655080213903743,0.5058422724702465,0.9532054281703323,0.9533527176472624
0.4520834318456803,0.9675467914438503,0.48907821658831924,0.9605365777569802,0.9603835504960306
0.44999482421314013,0.9692179144385027,0.4956735210928751,0.960848541569178,0.960804174018255
0.4459092923982896,0.9709224598930482,0.49394674117292336,0.9591327406020902,0.9591716746593152
0.4437693986344465,0.9713235294117647,0.5103808170675639,0.9530494462642334,0.953307968652741
0.44135950924878453,0.9716911764705882,0.4919251978249099,0.9633442520667602,0.9633050508177942
0.43710517430687973,0.9746991978609626,0.5000459433936361,0.9581968491654969,0.958243266726354
0.43647460198019916,0.9744652406417113,0.49730331476648054,0.9616284510996724,0.9616124019125357
0.4331123638280573,0.9759358288770054,0.502117314667844,0.9581968491654969,0.9582008739677441
0.43290231817546376,0.9758021390374332,0.48830019085858,0.9633442520667602,0.963319956374814
0.4300229125481876,0.9773395721925133,0.49456296638766334,0.962252378724068,0.9622766309841895
0.42803681103940955,0.9781751336898395,0.49427681805482554,0.9611605053813758,0.9612191197243093
0.42631689058268135,0.9792446524064171,0.48630373565415247,0.9647480892216503,0.9646814519432213
0.42376462791692765,0.9799799465240642,0.48970171416280284,0.9631882701606613,0.9631513860128699
0.42465268988660315,0.979812834224599,0.48909288711512267,0.963656215878958,0.9636954643272303
0.4229328305007302,0.9813836898395721,0.4910710288665781,0.9616284510996724,0.9616249442785998
0.4213864825626108,0.9811163101604278,0.48451244779190616,0.9663079082826392,0.9662757313842637
0.421419037918356,0.9816844919786096,0.4876469978645666,0.965216034939947,0.9652242302000303
0.4191036916352848,0.9828208556149732,0.48416719470747666,0.966619872094837,0.9666082079771064
0.4156394271289601,0.9837566844919786,0.48407032426020397,0.9664638901887381,0.9664456864487331
0.41605565971869196,0.9838235294117647,0.4845943198868291,0.9667758540009359,0.9667717506202762
0.4180281757670928,0.9832553475935829,0.48416321135278956,0.9669318359070348,0.9669317440861004
0.4151162916326268,0.9841911764705882,0.48411372355857296,0.9677117454375292,0.9676963430703118
0.41800314790424814,0.9827540106951872,0.4839578932197533,0.9675557635314304,0.9675516457529396
0.41631842596645663,0.9835561497326203,0.48377644511597667,0.9672437997192326,0.967239258236624
0.41480650337622127,0.9842914438502673,0.4842580140971426,0.9672437997192326,0.9672449433184196
